                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0957,                 3.1996,                 4.1506,                0.01046,                0.84064,                0.04273,                0.01751,                 2.7614,                  3.318,                 4.1111,                0.00062,                0.00062,                0.00062
                      1,                  3.021,                 2.8532,                 3.8188,                0.05012,                0.59474,                0.13444,                0.04441,                 2.7934,                 3.9195,                 3.8076,              0.0012475,              0.0012475,              0.0012475
                      2,                 2.7472,                 2.7366,                 3.4651,                0.07007,                0.46386,                0.09105,                 0.0305,                 2.8055,                 14.524,                 3.7728,              0.0018624,              0.0018624,              0.0018624
                      3,                 2.5199,                 2.5909,                 3.1554,                0.09656,                0.25904,                0.06406,                0.02287,                 2.7058,                 3.2194,                 3.7288,              0.0019406,              0.0019406,              0.0019406
                      4,                 2.3257,                 2.4905,                 2.9167,                0.36368,                0.37897,                0.30859,                0.12317,                  2.242,                 4.0639,                 3.0867,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1223,                 2.3319,                 2.7049,                0.47052,                0.37788,                 0.3373,                0.13893,                 2.2406,                 2.8968,                 3.1618,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.0013,                 2.1616,                 2.5927,                0.59021,                0.52574,                0.52116,                0.24535,                 1.9409,                 2.5031,                 2.8222,               0.001901,               0.001901,               0.001901
                      7,                 1.8453,                 2.0605,                 2.4669,                0.39849,                0.47426,                0.32835,                0.15852,                 1.9388,                 2.7571,                 2.8162,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7196,                 1.9437,                 2.3356,                0.37859,                0.49815,                0.33327,                0.14785,                 1.9335,                 2.7854,                 2.7806,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6363,                 1.8517,                 2.2614,                0.66967,                0.55038,                0.59811,                0.33366,                 1.6951,                  2.196,                 2.4177,              0.0018416,              0.0018416,              0.0018416
                     10,                   1.58,                 1.8037,                 2.2211,                0.72568,                0.56462,                0.65611,                0.38309,                 1.6402,                 1.9758,                 2.3217,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5381,                 1.7698,                 2.1711,                0.70016,                0.56517,                0.60713,                0.34391,                 1.6451,                 2.1754,                  2.376,               0.001802,               0.001802,               0.001802
                     12,                 1.4535,                 1.6682,                 2.0656,                0.75488,                0.59365,                0.66271,                0.39592,                 1.5643,                 1.8112,                 2.2729,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.407,                 1.5913,                 2.0248,                 0.7369,                0.60241,                0.66504,                0.39923,                   1.53,                 1.9152,                 2.1925,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3993,                 1.6201,                 2.0225,                0.77347,                0.63014,                0.69482,                0.40567,                 1.5493,                  2.023,                 2.2094,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3936,                 1.5993,                 1.9981,                0.77561,                0.60953,                0.70729,                0.42566,                 1.5325,                 1.7492,                 2.1693,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3604,                 1.5933,                 1.9872,                0.74679,                0.60953,                0.65858,                0.39757,                  1.498,                 2.1381,                 2.2484,               0.001703,               0.001703,               0.001703
                     17,                 1.3409,                 1.5575,                 1.9746,                0.73335,                0.64841,                0.71635,                0.43833,                  1.504,                 1.7161,                 2.1489,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3148,                 1.5255,                 1.9427,                0.78411,                0.64567,                0.73377,                 0.4664,                 1.4022,                  1.655,                 2.0395,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2907,                 1.5333,                 1.9078,                0.78007,                0.65389,                0.73777,                0.47494,                  1.429,                 1.7087,                  2.104,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2767,                 1.4617,                 1.8926,                0.77847,                0.64085,                0.73174,                0.43934,                   1.45,                 1.8428,                 2.0748,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3192,                 1.4758,                 1.9143,                 0.7415,                0.67708,                0.73947,                0.46303,                 1.3708,                 1.5969,                 2.0087,               0.001604,               0.001604,               0.001604
                     22,                 1.2204,                 1.3863,                 1.8454,                0.82453,                0.68967,                0.77904,                0.51409,                 1.3431,                 1.4564,                 1.9772,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2221,                 1.3588,                 1.8318,                0.80462,                 0.6391,                0.76256,                0.50663,                 1.3468,                  1.506,                 1.9714,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.2037,                 1.3465,                 1.8095,                0.84116,                0.67865,                0.78035,                 0.4964,                 1.3976,                 1.4721,                 1.9914,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1855,                 1.3475,                  1.804,                0.83807,                0.69989,                0.79787,                0.53337,                 1.2824,                 1.3991,                 1.9001,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1933,                 1.3333,                 1.8007,                0.81054,                0.67525,                0.77681,                0.53203,                 1.2258,                 1.4755,                 1.7878,               0.001505,               0.001505,               0.001505
                     27,                 1.1886,                 1.3299,                 1.7915,                0.82496,                0.70811,                0.80382,                0.53533,                 1.2729,                 1.3417,                 1.8751,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1405,                 1.2908,                 1.7591,                0.80088,                0.70044,                0.79481,                 0.5388,                 1.2122,                 1.3504,                 1.8054,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1436,                 1.3408,                 1.7577,                0.80371,                0.70187,                 0.8055,                0.51037,                 1.3792,                 1.7719,                 1.9576,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1859,                 1.3159,                 1.8009,                0.84955,                0.72946,                0.82948,                0.56519,                 1.2653,                 1.3097,                 1.8529,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1279,                 1.2374,                 1.7165,                 0.8485,                0.74226,                0.83707,                0.57548,                 1.2025,                 1.2288,                    1.8,               0.001406,               0.001406,               0.001406
                     32,                 1.1238,                 1.2583,                 1.7279,                0.86418,                0.70756,                 0.8137,                0.57308,                 1.1841,                  1.291,                 1.7868,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0764,                 1.1839,                  1.682,                 0.8753,                0.74577,                0.84632,                0.60705,                 1.1427,                 1.1858,                 1.7388,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0527,                 1.1648,                 1.6721,                0.84734,                0.75794,                0.85583,                0.59121,                 1.1935,                 1.2243,                 1.7755,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0583,                 1.1459,                 1.6608,                0.87118,                0.76177,                 0.8623,                0.63005,                  1.092,                 1.1288,                 1.6882,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1034,                 1.2005,                 1.7131,                  0.857,                0.76799,                0.86254,                 0.5871,                 1.1844,                 1.1906,                 1.7892,               0.001307,               0.001307,               0.001307
                     37,                 1.0393,                 1.1494,                  1.651,                0.86668,                 0.7782,                0.86813,                0.63612,                  1.088,                 1.1198,                 1.6703,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0454,                  1.121,                 1.6545,                0.84779,                0.75952,                0.85922,                0.60164,                 1.1789,                 1.1769,                 1.7486,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0785,                 1.1603,                 1.6775,                0.83934,                0.73439,                0.85118,                0.57197,                 1.2299,                 1.3042,                 1.7715,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0317,                 1.1084,                 1.6269,                0.88699,                0.76561,                0.86206,                0.62969,                 1.1081,                 1.0988,                 1.6937,              0.0012278,              0.0012278,              0.0012278
                     41,                0.99376,                 1.0964,                  1.605,                0.87942,                0.78258,                 0.8798,                0.64705,                 1.0545,                 1.0761,                 1.6458,               0.001208,               0.001208,               0.001208
                     42,                 1.0131,                 1.0802,                 1.6166,                0.87906,                0.78017,                0.87112,                0.64312,                 1.0464,                 1.0668,                 1.6144,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0294,                 1.1861,                 1.6156,                0.88993,                0.75356,                0.85949,                0.63151,                 1.0952,                 1.0717,                 1.7021,              0.0011684,              0.0011684,              0.0011684
                     44,                0.98989,                   1.05,                 1.5911,                0.89298,                0.79244,                0.89197,                0.64563,                 1.0775,                 1.1357,                 1.6523,              0.0011486,              0.0011486,              0.0011486
                     45,                0.97192,                 1.0391,                 1.5872,                0.88062,                0.79628,                0.88596,                0.65402,                 1.0779,                 1.0521,                 1.6513,              0.0011288,              0.0011288,              0.0011288
                     46,                0.99399,                 1.0826,                   1.61,                0.90747,                0.80024,                0.89029,                0.67429,                 1.0066,                0.99744,                 1.5831,               0.001109,               0.001109,               0.001109
                     47,                0.99821,                 1.0202,                 1.5914,                0.89467,                0.80723,                0.90066,                0.69012,                0.99317,                 1.0011,                 1.5616,              0.0010892,              0.0010892,              0.0010892
                     48,                0.95317,                 1.0242,                 1.5539,                0.85755,                0.78466,                0.87891,                0.66105,                 1.0173,                0.99544,                 1.5936,              0.0010694,              0.0010694,              0.0010694
                     49,                0.92783,                0.97007,                 1.5435,                0.86146,                0.79792,                0.88079,                0.66781,                 0.9911,                 1.0046,                 1.5725,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.9454,                 1.0079,                 1.5527,                0.87869,                0.77748,                  0.877,                0.66821,                0.98555,                0.98664,                 1.5614,              0.0010298,              0.0010298,              0.0010298
                     51,                0.93292,                 0.9897,                 1.5358,                0.90296,                0.81022,                0.90299,                0.69568,                0.98996,                0.96495,                 1.5549,                0.00101,                0.00101,                0.00101
                     52,                0.95799,                0.98523,                 1.5607,                0.90212,                0.82277,                 0.9019,                0.70002,                0.97135,                0.94545,                 1.5312,              0.0009902,              0.0009902,              0.0009902
                     53,                0.93113,                 1.0017,                 1.5408,                 0.9151,                0.81161,                0.91017,                0.69714,                0.97849,                0.92793,                 1.5319,              0.0009704,              0.0009704,              0.0009704
                     54,                0.94533,                0.96406,                 1.5402,                0.89748,                0.82459,                0.90751,                0.68489,                 1.0126,                0.93832,                 1.5593,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.9478,                0.96966,                 1.5422,                0.89692,                0.81325,                0.90084,                0.68324,                0.96884,                0.97142,                 1.5363,              0.0009308,              0.0009308,              0.0009308
                     56,                0.89525,                0.91047,                 1.4859,                 0.9097,                0.80547,                0.90426,                0.70393,                0.92102,                0.90124,                 1.4798,               0.000911,               0.000911,               0.000911
                     57,                0.90277,                0.92769,                 1.5008,                0.89905,                0.83844,                0.91463,                0.71164,                0.96148,                0.90311,                 1.4979,              0.0008912,              0.0008912,              0.0008912
                     58,                0.92598,                0.94371,                 1.5239,                0.91466,                0.82169,                0.91698,                0.73361,                0.90657,                0.86779,                 1.4754,              0.0008714,              0.0008714,              0.0008714
                     59,                0.88222,                0.89602,                 1.4943,                0.90774,                0.84392,                0.92114,                0.73092,                 0.9005,                0.83606,                 1.4567,              0.0008516,              0.0008516,              0.0008516
                     60,                0.90732,                 1.1048,                  1.534,                0.90851,                 0.8264,                0.91683,                0.71278,                0.93746,                0.90841,                 1.5085,              0.0008318,              0.0008318,              0.0008318
                     61,                0.93297,                 0.9399,                 1.5344,                0.92248,                0.84726,                0.93035,                0.74719,                0.87119,                 0.7933,                 1.4366,               0.000812,               0.000812,               0.000812
                     62,                0.87948,                0.89309,                 1.4789,                0.93074,                0.82147,                0.91991,                0.73057,                0.88908,                0.84678,                 1.4523,              0.0007922,              0.0007922,              0.0007922
                     63,                0.87555,                0.91023,                 1.4858,                0.91513,                0.84441,                0.92684,                 0.7425,                 0.8695,                0.80417,                   1.43,              0.0007724,              0.0007724,              0.0007724
                     64,                0.84114,                0.88862,                 1.4553,                0.91303,                0.84518,                0.91962,                0.74182,                0.88484,                0.84146,                 1.4338,              0.0007526,              0.0007526,              0.0007526
                     65,                0.89046,                0.89972,                 1.4852,                0.92867,                0.86035,                 0.9369,                0.75552,                0.84344,                0.77313,                 1.4102,              0.0007328,              0.0007328,              0.0007328
                     66,                0.86226,                0.90781,                 1.4736,                0.93384,                0.84775,                0.93492,                0.76518,                0.82232,                0.76378,                 1.3839,               0.000713,               0.000713,               0.000713
                     67,                0.86613,                0.87236,                 1.4501,                0.91327,                0.84199,                0.92494,                0.72741,                0.91936,                 0.8027,                   1.47,              0.0006932,              0.0006932,              0.0006932
                     68,                0.86752,                 0.8876,                 1.4792,                0.92849,                0.85816,                0.93776,                 0.7628,                0.83727,                0.74872,                 1.3918,              0.0006734,              0.0006734,              0.0006734
                     69,                0.85465,                 0.8479,                 1.4583,                0.92797,                0.86692,                0.93965,                0.76623,                0.82056,                 0.7673,                 1.3777,              0.0006536,              0.0006536,              0.0006536
                     70,                0.82279,                0.85305,                  1.433,                0.93371,                0.86387,                0.93872,                0.76588,                0.83292,                0.76061,                 1.3879,              0.0006338,              0.0006338,              0.0006338
                     71,                0.84384,                0.82384,                 1.4419,                0.92505,                0.86521,                0.93514,                0.76522,                0.82759,                0.75073,                 1.3855,               0.000614,               0.000614,               0.000614
                     72,                0.83614,                 0.8312,                 1.4311,                 0.9258,                0.84734,                0.93413,                0.76021,                0.83814,                0.76652,                 1.4035,              0.0005942,              0.0005942,              0.0005942
                     73,                0.82868,                0.84361,                 1.4342,                0.93084,                0.85816,                0.93338,                 0.7589,                 0.8336,                0.74052,                 1.3967,              0.0005744,              0.0005744,              0.0005744
                     74,                0.81607,                0.82448,                 1.4255,                 0.9183,                0.84283,                0.92934,                0.75829,                0.79958,                0.74516,                 1.3657,              0.0005546,              0.0005546,              0.0005546
                     75,                0.79944,                0.80547,                 1.4147,                0.94591,                 0.8619,                0.94338,                0.77611,                0.79888,                 0.7385,                 1.3743,              0.0005348,              0.0005348,              0.0005348
                     76,                0.83031,                 1.0146,                  1.439,                  0.949,                0.86627,                0.93991,                0.76816,                0.80894,                0.73479,                 1.3741,               0.000515,               0.000515,               0.000515
                     77,                0.80091,                0.81566,                 1.4152,                0.94501,                0.86528,                0.94541,                0.78208,                0.77752,                0.69091,                 1.3338,              0.0004952,              0.0004952,              0.0004952
                     78,                0.79755,                 0.7956,                 1.4024,                0.95253,                 0.8572,                0.94116,                0.77722,                0.80288,                0.71901,                 1.3637,              0.0004754,              0.0004754,              0.0004754
                     79,                0.77997,                0.78423,                 1.3974,                0.94808,                0.86199,                0.94764,                 0.7905,                0.76702,                0.69528,                 1.3254,              0.0004556,              0.0004556,              0.0004556
                     80,                0.79384,                0.81147,                 1.4047,                0.93863,                 0.8711,                0.94654,                0.79235,                 0.7503,                0.68906,                 1.3174,              0.0004358,              0.0004358,              0.0004358
                     81,                0.78212,                0.79706,                 1.3812,                0.93032,                0.88171,                0.94609,                0.79522,                0.74046,                0.66413,                 1.2963,               0.000416,               0.000416,               0.000416
                     82,                0.80951,                0.79628,                 1.4061,                 0.9403,                0.87514,                0.94881,                0.78979,                0.75773,                0.68542,                 1.3104,              0.0003962,              0.0003962,              0.0003962
                     83,                0.80731,                0.80706,                 1.4088,                0.94525,                0.88719,                0.95379,                0.80011,                0.73818,                0.65339,                 1.2859,              0.0003764,              0.0003764,              0.0003764
                     84,                0.78174,                0.76843,                 1.3856,                0.94522,                0.87876,                0.94612,                0.79805,                0.72988,                0.64674,                 1.2893,              0.0003566,              0.0003566,              0.0003566
                     85,                0.84759,                0.84373,                 1.6198,                0.94786,                0.87514,                0.95195,                0.80046,                0.73802,                0.66197,                 1.2929,              0.0003368,              0.0003368,              0.0003368
                     86,                0.77773,                0.76187,                 1.3966,                0.94671,                0.88773,                 0.9531,                 0.8053,                0.72968,                0.63705,                 1.2894,               0.000317,               0.000317,               0.000317
                     87,                 0.7689,                0.82288,                 1.3771,                0.95302,                0.87758,                0.95576,                0.81012,                0.72009,                0.62438,                 1.2809,              0.0002972,              0.0002972,              0.0002972
                     88,                0.78113,                0.76916,                 1.3868,                0.94908,                0.88116,                0.95246,                0.80187,                0.72336,                0.63491,                   1.28,              0.0002774,              0.0002774,              0.0002774
                     89,                0.75818,                0.75036,                 1.3719,                0.95818,                0.88719,                 0.9599,                0.81286,                0.71396,                0.62257,                 1.2741,              0.0002576,              0.0002576,              0.0002576
                     90,                0.73206,                0.73224,                 1.3776,                0.94271,                0.88311,                0.95368,                0.80475,                0.71966,                  0.639,                  1.283,              0.0002378,              0.0002378,              0.0002378
                     91,                0.73549,                0.76202,                 1.3523,                 0.9522,                0.88061,                0.95072,                0.79955,                0.72989,                0.64351,                  1.279,               0.000218,               0.000218,               0.000218
                     92,                0.75838,                0.73677,                 1.3784,                0.95451,                0.89157,                0.96083,                0.81358,                0.70646,                0.62268,                 1.2641,              0.0001982,              0.0001982,              0.0001982
                     93,                0.64665,                0.62958,                 1.2804,                0.95761,                0.88828,                0.95907,                0.81726,                0.69067,                0.61418,                  1.255,              0.0001784,              0.0001784,              0.0001784
                     94,                0.66992,                0.62361,                  1.298,                0.94813,                0.90092,                0.96075,                0.81377,                0.69966,                0.60087,                 1.2581,              0.0001586,              0.0001586,              0.0001586
                     95,                0.71154,                0.67293,                 1.3422,                0.95777,                0.89437,                0.96256,                0.82269,                0.67226,                0.58639,                 1.2344,              0.0001388,              0.0001388,              0.0001388
                     96,                0.65708,                0.61075,                 1.3097,                0.94625,                0.89668,                0.96136,                  0.822,                 0.6685,                0.58463,                  1.233,               0.000119,               0.000119,               0.000119
                     97,                0.67117,                0.62175,                 1.2986,                0.96394,                0.89305,                0.96402,                0.82337,                0.67584,                0.58204,                 1.2339,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.62671,                0.59547,                 1.2599,                0.95486,                0.90142,                0.96419,                0.82948,                0.66034,                0.57307,                 1.2208,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.64068,                0.60681,                 1.2771,                0.94783,                0.90543,                0.96247,                0.82765,                0.65949,                0.57551,                 1.2212,               5.96e-05,               5.96e-05,               5.96e-05
